      #Energy        tdos
     -67.01577       0.00000
     -66.94377       0.00000
     -66.87177       0.00000
     -66.79977       0.00000
     -66.72777       0.00000
     -66.65577       0.00000
     -66.58377       0.00000
     -66.51077       0.00000
     -66.43877       0.00000
     -66.36677       0.00000
     -66.29477       0.00000
     -66.22277       0.00000
     -66.15077       0.00000
     -66.07877       0.00000
     -66.00677       0.00000
     -65.93477       0.00000
     -65.86277       0.00000
     -65.79077       0.00000
     -65.71877       0.00000
     -65.64677       0.00000
     -65.57477       0.00000
     -65.50177       0.00000
     -65.42977       0.00000
     -65.35777       0.00000
     -65.28577       0.00013
     -65.21377       0.00482
     -65.14177       0.07321
     -65.06977       0.50496
     -64.99777       1.84442
     -64.92577       4.25883
     -64.85377       7.33415
     -64.78177      10.46280
     -64.70977      12.76442
     -64.63777      13.76521
     -64.56577      13.97974
     -64.49277      13.99961
     -64.42077      14.00034
     -64.34877      14.00035
     -64.27677      14.00035
     -64.20477      14.00035
     -64.13277      14.00035
     -64.06077      14.00035
     -63.98877      14.00035
     -63.91677      14.00035
     -63.84477      14.00035
     -63.77277      14.00035
     -63.70077      14.00035
     -63.62877      14.00035
     -63.55677      14.00035
     -63.48377      14.00035
     -63.41177      14.00035
     -63.33977      14.00035
     -63.26777      14.00035
     -63.19577      14.00035
     -63.12377      14.00035
     -63.05177      14.00035
     -62.97977      14.00035
     -62.90777      14.00035
     -62.83577      14.00035
     -62.76377      14.00035
     -62.69177      14.00035
     -62.61977      14.00035
     -62.54777      14.00035
     -62.47477      14.00035
     -62.40277      14.00035
     -62.33077      14.00035
     -62.25877      14.00035
     -62.18677      14.00035
     -62.11477      14.00035
     -62.04277      14.00035
     -61.97077      14.00035
     -61.89877      14.00035
     -61.82677      14.00035
     -61.75477      14.00035
     -61.68277      14.00035
     -61.61077      14.00035
     -61.53877      14.00035
     -61.46577      14.00035
     -61.39377      14.00035
     -61.32177      14.00035
     -61.24977      14.00035
     -61.17777      14.00035
     -61.10577      14.00035
     -61.03377      14.00035
     -60.96177      14.00035
     -60.88977      14.00035
     -60.81777      14.00035
     -60.74577      14.00035
     -60.67377      14.00035
     -60.60177      14.00035
     -60.52977      14.00035
     -60.45677      14.00035
     -60.38477      14.00035
     -60.31277      14.00035
     -60.24077      14.00035
     -60.16877      14.00035
     -60.09677      14.00035
     -60.02477      14.00035
     -59.95277      14.00035
     -59.88077      14.00035
     -59.80877      14.00035
     -59.73677      14.00035
     -59.66477      14.00035
     -59.59277      14.00035
     -59.52077      14.00035
     -59.44777      14.00035
     -59.37577      14.00035
     -59.30377      14.00035
     -59.23177      14.00035
     -59.15977      14.00035
     -59.08777      14.00035
     -59.01577      14.00035
     -58.94377      14.00035
     -58.87177      14.00035
     -58.79977      14.00035
     -58.72777      14.00035
     -58.65577      14.00035
     -58.58377      14.00035
     -58.51077      14.00035
     -58.43877      14.00035
     -58.36677      14.00035
     -58.29477      14.00035
     -58.22277      14.00035
     -58.15077      14.00035
     -58.07877      14.00035
     -58.00677      14.00035
     -57.93477      14.00035
     -57.86277      14.00035
