      #Energy        PDOS
     -41.17598       0.00000
     -41.11198       0.00000
     -41.04798       0.00000
     -40.98398       0.00000
     -40.91998       0.00000
     -40.85598       0.00000
     -40.79198       0.00000
     -40.72798       0.00000
     -40.66398       0.00000
     -40.59998       0.00000
     -40.53498       0.00000
     -40.47098       0.00000
     -40.40698       0.00000
     -40.34298       0.00000
     -40.27898       0.00000
     -40.21498       0.00000
     -40.15098       0.00000
     -40.08698       0.00000
     -40.02298       0.00000
     -39.95898       0.00000
     -39.89498       0.00000
     -39.83098       0.00000
     -39.76698       0.00001
     -39.70298       0.00002
     -39.63898       0.00004
     -39.57498       0.00010
     -39.50998       0.00017
     -39.44598       0.00018
     -39.38198       0.00017
     -39.31798       0.00026
     -39.25398       0.00050
     -39.18998       0.00070
     -39.12598       0.00061
     -39.06198       0.00031
     -38.99798       0.00009
     -38.93398       0.00001
     -38.86998       0.00000
     -38.80598       0.00000
     -38.74198       0.00000
     -38.67798       0.00000
     -38.61398       0.00000
     -38.54898       0.00000
     -38.48498       0.00000
     -38.42098       0.00000
     -38.35698       0.00000
     -38.29298       0.00000
     -38.22898       0.00000
     -38.16498       0.00000
     -38.10098       0.00000
     -38.03698       0.00000
     -37.97298       0.00000
     -37.90898       0.00000
     -37.84498       0.00000
     -37.78098       0.00000
     -37.71698       0.00000
     -37.65298       0.00000
     -37.58898       0.00000
     -37.52398       0.00000
     -37.45998       0.00000
     -37.39598       0.00000
     -37.33198       0.00000
     -37.26798       0.00000
     -37.20398       0.00000
     -37.13998       0.00000
     -37.07598       0.00000
     -37.01198       0.00000
     -36.94798       0.00000
     -36.88398       0.00000
     -36.81998       0.00000
     -36.75598       0.00000
     -36.69198       0.00000
     -36.62798       0.00000
     -36.56398       0.00000
     -36.49898       0.00000
     -36.43498       0.00000
     -36.37098       0.00000
     -36.30698       0.00000
     -36.24298       0.00000
     -36.17898       0.00000
     -36.11498       0.00000
     -36.05098       0.00000
     -35.98698       0.00000
     -35.92298       0.00000
     -35.85898       0.00000
     -35.79498       0.00000
     -35.73098       0.00002
     -35.66698       0.00011
     -35.60298       0.00030
     -35.53798       0.00051
     -35.47398       0.00066
     -35.40998       0.00079
     -35.34598       0.00091
     -35.28198       0.00089
     -35.21798       0.00068
     -35.15398       0.00041
     -35.08998       0.00022
     -35.02598       0.00016
     -34.96198       0.00017
     -34.89798       0.00011
     -34.83398       0.00004
     -34.76998       0.00001
     -34.70598       0.00000
     -34.64198       0.00000
     -34.57798       0.00000
     -34.51298       0.00000
     -34.44898       0.00000
     -34.38498       0.00000
     -34.32098       0.00000
     -34.25698       0.00000
     -34.19298       0.00001
     -34.12898       0.00006
     -34.06498       0.00022
     -34.00098       0.00045
     -33.93698       0.00061
     -33.87298       0.00066
     -33.80898       0.00060
     -33.74498       0.00048
     -33.68098       0.00037
     -33.61698       0.00025
     -33.55298       0.00018
     -33.48798       0.00016
     -33.42398       0.00010
     -33.35998       0.00003
     -33.29598       0.00000
     -33.23198       0.00000
     -33.16798       0.00000
     -33.10398       0.00000
     -33.03998       0.00000
     -32.97598       0.00000
     -32.91198       0.00000
     -32.84798       0.00000
     -32.78398       0.00000
     -32.71998       0.00000
     -32.65598       0.00000
     -32.59198       0.00000
     -32.52698       0.00000
     -32.46298       0.00000
     -32.39898       0.00000
     -32.33498       0.00000
     -32.27098       0.00004
     -32.20698       0.00027
     -32.14298       0.00098
     -32.07898       0.00182
     -32.01498       0.00203
     -31.95098       0.00179
     -31.88698       0.00149
     -31.82298       0.00129
     -31.75898       0.00144
     -31.69498       0.00178
     -31.63098       0.00178
     -31.56698       0.00122
     -31.50198       0.00050
     -31.43798       0.00014
     -31.37398       0.00012
     -31.30998       0.00024
     -31.24598       0.00038
     -31.18198       0.00050
     -31.11798       0.00056
     -31.05398       0.00053
     -30.98998       0.00046
     -30.92598       0.00031
     -30.86198       0.00012
     -30.79798       0.00002
     -30.73398       0.00002
     -30.66998       0.00006
     -30.60598       0.00020
     -30.54098       0.00044
     -30.47698       0.00054
     -30.41298       0.00035
     -30.34898       0.00011
     -30.28498       0.00004
     -30.22098       0.00017
     -30.15698       0.00052
     -30.09298       0.00079
     -30.02898       0.00060
     -29.96498       0.00022
     -29.90098       0.00004
     -29.83698       0.00000
     -29.77298       0.00000
     -29.70898       0.00000
     -29.64498       0.00000
     -29.58098       0.00000
     -29.51598       0.00000
     -29.45198       0.00000
     -29.38798       0.00000
     -29.32398       0.00000
     -29.25998       0.00000
     -29.19598       0.00000
     -29.13198       0.00000
     -29.06798       0.00000
     -29.00398       0.00000
     -28.93998       0.00000
     -28.87598       0.00000
     -28.81198       0.00000
     -28.74798       0.00000
     -28.68398       0.00000
     -28.61998       0.00000
     -28.55598       0.00000
     -28.49098       0.00000
     -28.42698       0.00000
     -28.36298       0.00000
     -28.29898       0.00000
     -28.23498       0.00000
     -28.17098       0.00000
     -28.10698       0.00000
     -28.04298       0.00000
     -27.97898       0.00000
     -27.91498       0.00000
     -27.85098       0.00000
     -27.78698       0.00000
     -27.72298       0.00000
     -27.65898       0.00000
     -27.59498       0.00000
     -27.52998       0.00000
     -27.46598       0.00000
     -27.40198       0.00000
     -27.33798       0.00000
     -27.27398       0.00000
     -27.20998       0.00000
     -27.14598       0.00000
     -27.08198       0.00000
     -27.01798       0.00000
     -26.95398       0.00000
     -26.88998       0.00000
     -26.82598       0.00000
     -26.76198       0.00000
     -26.69798       0.00000
     -26.63398       0.00000
     -26.56998       0.00000
     -26.50498       0.00000
     -26.44098       0.00000
     -26.37698       0.00000
     -26.31298       0.00000
     -26.24898       0.00000
     -26.18498       0.00000
     -26.12098       0.00000
     -26.05698       0.00000
     -25.99298       0.00000
     -25.92898       0.00000
     -25.86498       0.00000
     -25.80098       0.00000
     -25.73698       0.00000
     -25.67298       0.00000
     -25.60898       0.00000
     -25.54398       0.00000
     -25.47998       0.00000
     -25.41598       0.00000
     -25.35198       0.00000
     -25.28798       0.00000
     -25.22398       0.00000
     -25.15998       0.00000
     -25.09598       0.00000
     -25.03198       0.00000
     -24.96798       0.00000
     -24.90398       0.00000
     -24.83998       0.00000
     -24.77598       0.00000
     -24.71198       0.00000
     -24.64798       0.00000
     -24.58398       0.00000
     -24.51898       0.00000
     -24.45498       0.00000
     -24.39098       0.00000
     -24.32698       0.00000
     -24.26298       0.00000
     -24.19898       0.00000
     -24.13498       0.00000
     -24.07098       0.00000
     -24.00698       0.00000
     -23.94298       0.00000
     -23.87898       0.00000
     -23.81498       0.00000
     -23.75098       0.00000
     -23.68698       0.00000
     -23.62298       0.00000
     -23.55898       0.00000
     -23.49398       0.00000
     -23.42998       0.00000
     -23.36598       0.00000
     -23.30198       0.00000
     -23.23798       0.00000
     -23.17398       0.00000
     -23.10998       0.00000
     -23.04598       0.00000
     -22.98198       0.00000
     -22.91798       0.00000
     -22.85398       0.00000
     -22.78998       0.00000
     -22.72598       0.00000
     -22.66198       0.00000
     -22.59798       0.00000
     -22.53298       0.00000
     -22.46898       0.00000
     -22.40498       0.00000
     -22.34098       0.00000
     -22.27698       0.00000
     -22.21298       0.00000
     -22.14898       0.00000
     -22.08498       0.00000
     -22.02098       0.00000
     -21.95698       0.00000
     -21.89298       0.00000
     -21.82898       0.00000
     -21.76498       0.00000
     -21.70098       0.00000
     -21.63698       0.00000
     -21.57298       0.00000
     -21.50798       0.00000
     -21.44398       0.00000
     -21.37998       0.00000
     -21.31598       0.00000
     -21.25198       0.00000
     -21.18798       0.00000
     -21.12398       0.00000
     -21.05998       0.00000
     -20.99598       0.00000
     -20.93198       0.00000
     -20.86798       0.00000
     -20.80398       0.00000
     -20.73998       0.00000
     -20.67598       0.00000
     -20.61198       0.00000
     -20.54698       0.00000
     -20.48298       0.00000
     -20.41898       0.00000
     -20.35498       0.00000
     -20.29098       0.00000
     -20.22698       0.00000
     -20.16298       0.00000
     -20.09898       0.00000
     -20.03498       0.00000
     -19.97098       0.00000
     -19.90698       0.00000
     -19.84298       0.00000
     -19.77898       0.00000
     -19.71498       0.00000
     -19.65098       0.00000
     -19.58698       0.00000
     -19.52198       0.00000
     -19.45798       0.00000
     -19.39398       0.00000
     -19.32998       0.00000
     -19.26598       0.00000
     -19.20198       0.00000
     -19.13798       0.00000
     -19.07398       0.00000
     -19.00998       0.00000
     -18.94598       0.00000
     -18.88198       0.00000
     -18.81798       0.00000
     -18.75398       0.00000
     -18.68998       0.00000
     -18.62598       0.00000
     -18.56198       0.00000
     -18.49698       0.00000
     -18.43298       0.00000
     -18.36898       0.00000
     -18.30498       0.00000
     -18.24098       0.00000
     -18.17698       0.00000
     -18.11298       0.00000
     -18.04898       0.00000
     -17.98498       0.00000
     -17.92098       0.00000
     -17.85698       0.00000
     -17.79298       0.00000
     -17.72898       0.00000
     -17.66498       0.00000
     -17.60098       0.00000
     -17.53598       0.00000
     -17.47198       0.00000
     -17.40798       0.00000
     -17.34398       0.00000
     -17.27998       0.00000
     -17.21598       0.00000
     -17.15198       0.00000
     -17.08798       0.00001
     -17.02398       0.00010
     -16.95998       0.00066
     -16.89598       0.00219
     -16.83198       0.00374
     -16.76798       0.00406
     -16.70398       0.00384
     -16.63998       0.00301
     -16.57598       0.00173
     -16.51098       0.00120
     -16.44698       0.00217
     -16.38298       0.00470
     -16.31898       0.00636
     -16.25498       0.00486
     -16.19098       0.00314
     -16.12698       0.00553
     -16.06298       0.01186
     -15.99898       0.01686
     -15.93498       0.01596
     -15.87098       0.01486
     -15.80698       0.01857
     -15.74298       0.02041
     -15.67898       0.01616
     -15.61498       0.01186
     -15.55098       0.01310
     -15.48598       0.01579
     -15.42198       0.01598
     -15.35798       0.01824
     -15.29398       0.02400
     -15.22998       0.02716
     -15.16598       0.02564
     -15.10198       0.02806
     -15.03798       0.04154
     -14.97398       0.05512
     -14.90998       0.04570
     -14.84598       0.02021
     -14.78198       0.00444
     -14.71798       0.00047
     -14.65398       0.00002
     -14.58998       0.00000
     -14.52498       0.00000
     -14.46098       0.00000
     -14.39698       0.00000
     -14.33298       0.00000
     -14.26898       0.00000
     -14.20498       0.00000
     -14.14098       0.00000
     -14.07698       0.00000
     -14.01298       0.00000
     -13.94898       0.00000
     -13.88498       0.00000
     -13.82098       0.00000
     -13.75698       0.00000
     -13.69298       0.00000
     -13.62898       0.00000
     -13.56498       0.00000
     -13.49998       0.00000
     -13.43598       0.00000
     -13.37198       0.00000
     -13.30798       0.00000
     -13.24398       0.00000
     -13.17998       0.00003
     -13.11598       0.00049
     -13.05198       0.00442
     -12.98798       0.01937
     -12.92398       0.04475
     -12.85998       0.06536
     -12.79598       0.08120
     -12.73198       0.09005
     -12.66798       0.07798
     -12.60398       0.07211
     -12.53898       0.09344
     -12.47498       0.10418
     -12.41098       0.08686
     -12.34698       0.07409
     -12.28298       0.08162
     -12.21898       0.11121
     -12.15498       0.13599
     -12.09098       0.11927
     -12.02698       0.10230
     -11.96298       0.12429
     -11.89898       0.14168
     -11.83498       0.13616
     -11.77098       0.13570
     -11.70698       0.14613
     -11.64298       0.15501
     -11.57898       0.14544
     -11.51398       0.12409
     -11.44998       0.10791
     -11.38598       0.09812
     -11.32198       0.09777
     -11.25798       0.09985
     -11.19398       0.09590
     -11.12998       0.08752
     -11.06598       0.06915
     -11.00198       0.05188
     -10.93798       0.04952
     -10.87398       0.05063
     -10.80998       0.04967
     -10.74598       0.04732
     -10.68198       0.04089
     -10.61798       0.03619
     -10.55398       0.03821
     -10.48898       0.04071
     -10.42498       0.03377
     -10.36098       0.01959
     -10.29698       0.00948
     -10.23298       0.00595
     -10.16898       0.00392
     -10.10498       0.00162
     -10.04098       0.00034
      -9.97698       0.00003
      -9.91298       0.00000
      -9.84898       0.00000
      -9.78498       0.00000
      -9.72098       0.00000
      -9.65698       0.00000
      -9.59298       0.00000
      -9.52798       0.00000
      -9.46398       0.00000
      -9.39998       0.00000
      -9.33598       0.00000
      -9.27198       0.00000
      -9.20798       0.00000
      -9.14398       0.00000
      -9.07998       0.00000
      -9.01598       0.00000
      -8.95198       0.00000
      -8.88798       0.00000
      -8.82398       0.00000
      -8.75998       0.00000
      -8.69598       0.00002
      -8.63198       0.00035
      -8.56798       0.00289
      -8.50298       0.01178
      -8.43898       0.02483
      -8.37498       0.03005
      -8.31098       0.02732
      -8.24698       0.02599
      -8.18298       0.02495
      -8.11898       0.02127
      -8.05498       0.01605
      -7.99098       0.01355
      -7.92698       0.01807
      -7.86298       0.02276
      -7.79898       0.02481
      -7.73498       0.03013
      -7.67098       0.04565
      -7.60698       0.07366
      -7.54198       0.09615
      -7.47798       0.10464
      -7.41398       0.10460
      -7.34998       0.08791
      -7.28598       0.06799
      -7.22198       0.07054
      -7.15798       0.10568
      -7.09398       0.15079
      -7.02998       0.15966
      -6.96598       0.14516
      -6.90198       0.15786
      -6.83798       0.19050
      -6.77398       0.21270
      -6.70998       0.20173
      -6.64598       0.18355
      -6.58198       0.20121
      -6.51698       0.23898
      -6.45298       0.27547
      -6.38898       0.31547
      -6.32498       0.32682
      -6.26098       0.29520
      -6.19698       0.24799
      -6.13298       0.19779
      -6.06898       0.16552
      -6.00498       0.19237
      -5.94098       0.23993
      -5.87698       0.23361
      -5.81298       0.18857
      -5.74898       0.15310
      -5.68498       0.13252
      -5.62098       0.12469
      -5.55698       0.11960
      -5.49198       0.10413
      -5.42798       0.09481
      -5.36398       0.10379
      -5.29998       0.12019
      -5.23598       0.13233
      -5.17198       0.13125
      -5.10798       0.12182
      -5.04398       0.11337
      -4.97998       0.10707
      -4.91598       0.10094
      -4.85198       0.09097
      -4.78798       0.07985
      -4.72398       0.07697
      -4.65998       0.07681
      -4.59598       0.07095
      -4.53098       0.06456
      -4.46698       0.06060
      -4.40298       0.05962
      -4.33898       0.06255
      -4.27498       0.06316
      -4.21098       0.05984
      -4.14698       0.05483
      -4.08298       0.05169
      -4.01898       0.05127
      -3.95498       0.05244
      -3.89098       0.05589
      -3.82698       0.05666
      -3.76298       0.05044
      -3.69898       0.04289
      -3.63498       0.04071
      -3.57098       0.03653
      -3.50598       0.02774
      -3.44198       0.02356
      -3.37798       0.02365
      -3.31398       0.02495
      -3.24998       0.02728
      -3.18598       0.02666
      -3.12198       0.02431
      -3.05798       0.02469
      -2.99398       0.02329
      -2.92998       0.01733
      -2.86598       0.01021
      -2.80198       0.00496
      -2.73798       0.00284
      -2.67398       0.00288
      -2.60998       0.00304
      -2.54498       0.00248
      -2.48098       0.00199
      -2.41698       0.00189
      -2.35298       0.00191
      -2.28898       0.00202
      -2.22498       0.00214
      -2.16098       0.00220
      -2.09698       0.00218
      -2.03298       0.00199
      -1.96898       0.00227
      -1.90498       0.00470
      -1.84098       0.00814
      -1.77698       0.00755
      -1.71298       0.00391
      -1.64898       0.00220
      -1.58498       0.00297
      -1.51998       0.00421
      -1.45598       0.00488
      -1.39198       0.00593
      -1.32798       0.00922
      -1.26398       0.01395
      -1.19998       0.01389
      -1.13598       0.01040
      -1.07198       0.01150
      -1.00798       0.01679
      -0.94398       0.01986
      -0.87998       0.01746
      -0.81598       0.01416
      -0.75198       0.01255
      -0.68798       0.01152
      -0.62398       0.01241
      -0.55998       0.01588
      -0.49498       0.01776
      -0.43098       0.01555
      -0.36698       0.01458
      -0.30298       0.01790
      -0.23898       0.02060
      -0.17498       0.01870
      -0.11098       0.01448
      -0.04698       0.01246
       0.01702       0.01271
       0.08102       0.01439
       0.14502       0.01811
       0.20902       0.02030
       0.27302       0.01939
       0.33702       0.01999
       0.40102       0.02215
       0.46602       0.02104
       0.53002       0.01730
       0.59402       0.01483
       0.65802       0.01457
       0.72202       0.01650
       0.78602       0.01968
       0.85002       0.02274
       0.91402       0.02471
       0.97802       0.02524
       1.04202       0.02592
       1.10602       0.02637
       1.17002       0.02688
       1.23402       0.03008
       1.29802       0.03435
       1.36202       0.03633
       1.42602       0.03501
       1.49102       0.03221
       1.55502       0.03156
       1.61902       0.03296
       1.68302       0.03471
       1.74702       0.03732
       1.81102       0.04174
       1.87502       0.04538
       1.93902       0.04534
       2.00302       0.04422
       2.06702       0.04499
       2.13102       0.04848
       2.19502       0.05340
       2.25902       0.05711
       2.32302       0.05752
       2.38702       0.05499
       2.45202       0.05132
       2.51602       0.05084
       2.58002       0.05579
       2.64402       0.06430
       2.70802       0.07265
       2.77202       0.07599
       2.83602       0.07458
       2.90002       0.07420
       2.96402       0.07751
       3.02802       0.08493
       3.09202       0.09878
       3.15602       0.11095
       3.22002       0.10937
       3.28402       0.09690
       3.34802       0.08292
       3.41202       0.07445
       3.47702       0.07272
       3.54102       0.07236
       3.60502       0.07139
       3.66902       0.07243
       3.73302       0.06853
       3.79702       0.05918
       3.86102       0.05180
       3.92502       0.04768
       3.98902       0.04307
       4.05302       0.03341
       4.11702       0.02343
       4.18102       0.02474
       4.24502       0.03334
       4.30902       0.03175
       4.37302       0.01820
       4.43702       0.00652
       4.50202       0.00223
       4.56602       0.00179
       4.63002       0.00147
       4.69402       0.00062
       4.75802       0.00012
       4.82202       0.00001
       4.88602       0.00000
       4.95002       0.00000
